Accession_Number,Shape,Material,Technique/Style,Date,Period,Artist,Attribution,Provenance,Location,Record_URL,Image_count,Images_list,Source_page,Archive_Ref,Beazley_DB,Bibliography,Comparanda,Condition,Date_edited,Dating_details,Decoration,Diameters,Edited_by,Fabric,Fabric_description,Handle_height,Height,Inscriptions,Munsell_color,Other_dims.,Shape_description,reference 1,reference 2
,,,,,,,,,,https://uremuseum.org/record/14.9.76,1,https://uremuseum.org/cgi-bin/uredb.cgi?field=Image,https://uremuseum.org/cgi-bin/uredb.cgi?rec=14.9.76,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,https://uremuseum.org/record/REDMG:1953.25.66,1,https://uremuseum.org/cgi-bin/uredb.cgi?field=Image,https://uremuseum.org/cgi-bin/uredb.cgi?rec=REDMG:1953.25.66,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,https://uremuseum.org/record/47.6.1,1,https://uremuseum.org/cgi-bin/uredb.cgi?field=Image,https://uremuseum.org/cgi-bin/uredb.cgi?rec=47.6.1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,https://uremuseum.org/record/26.2.76,1,https://uremuseum.org/cgi-bin/uredb.cgi?field=Image,https://uremuseum.org/cgi-bin/uredb.cgi?rec=26.2.76,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,https://uremuseum.org/record/23.11.24,1,https://uremuseum.org/cgi-bin/uredb.cgi?field=Image,https://uremuseum.org/cgi-bin/uredb.cgi?rec=23.11.24,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,https://uremuseum.org/record/51.7.16,1,https://uremuseum.org/cgi-bin/uredb.cgi?field=Image,https://uremuseum.org/cgi-bin/uredb.cgi?rec=51.7.16,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,https://uremuseum.org/record/26.2.77,1,https://uremuseum.org/cgi-bin/uredb.cgi?field=Image,https://uremuseum.org/cgi-bin/uredb.cgi?rec=26.2.77,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,https://uremuseum.org/record/14.9.77,1,https://uremuseum.org/cgi-bin/uredb.cgi?field=Image,https://uremuseum.org/cgi-bin/uredb.cgi?rec=14.9.77,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,https://uremuseum.org/record/23.11.20,1,https://uremuseum.org/cgi-bin/uredb.cgi?field=Image,https://uremuseum.org/cgi-bin/uredb.cgi?rec=23.11.20,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,https://uremuseum.org/record/50.3.1,1,https://uremuseum.org/cgi-bin/uredb.cgi?field=Image,https://uremuseum.org/cgi-bin/uredb.cgi?rec=50.3.1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,https://uremuseum.org/record/52.3.1,1,https://uremuseum.org/cgi-bin/uredb.cgi?field=Image,https://uremuseum.org/cgi-bin/uredb.cgi?rec=52.3.1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,https://uremuseum.org/record/REDMG:1951.159.1,1,https://uremuseum.org/cgi-bin/uredb.cgi?field=Image,https://uremuseum.org/cgi-bin/uredb.cgi?rec=REDMG:1951.159.1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,https://uremuseum.org/record/23.11.23,1,https://uremuseum.org/cgi-bin/uredb.cgi?field=Image,https://uremuseum.org/cgi-bin/uredb.cgi?rec=23.11.23,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,https://uremuseum.org/record/23.11.4,1,https://uremuseum.org/cgi-bin/uredb.cgi?field=Image,https://uremuseum.org/cgi-bin/uredb.cgi?rec=23.11.4,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,https://uremuseum.org/record/26.2.44,1,https://uremuseum.org/cgi-bin/uredb.cgi?field=Image,https://uremuseum.org/cgi-bin/uredb.cgi?rec=26.2.44,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,https://uremuseum.org/record/23.11.3,1,https://uremuseum.org/cgi-bin/uredb.cgi?field=Image,https://uremuseum.org/cgi-bin/uredb.cgi?rec=23.11.3,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,https://uremuseum.org/record/REDMG:2003.84.1,1,https://uremuseum.org/cgi-bin/uredb.cgi?field=Image,https://uremuseum.org/cgi-bin/uredb.cgi?rec=REDMG:2003.84.1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,https://uremuseum.org/record/26.2.41,1,https://uremuseum.org/cgi-bin/uredb.cgi?field=Image,https://uremuseum.org/cgi-bin/uredb.cgi?rec=26.2.41,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,https://uremuseum.org/record/45.6.32,1,https://uremuseum.org/cgi-bin/uredb.cgi?field=Image,https://uremuseum.org/cgi-bin/uredb.cgi?rec=45.6.32,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,https://uremuseum.org/record/26.2.49,1,https://uremuseum.org/cgi-bin/uredb.cgi?field=Image,https://uremuseum.org/cgi-bin/uredb.cgi?rec=26.2.49,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,https://uremuseum.org/record/26.2.45,1,https://uremuseum.org/cgi-bin/uredb.cgi?field=Image,https://uremuseum.org/cgi-bin/uredb.cgi?rec=26.2.45,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,https://uremuseum.org/record/RM.78.13.47,1,https://uremuseum.org/cgi-bin/uredb.cgi?field=Image,https://uremuseum.org/cgi-bin/uredb.cgi?rec=RM.78.13.47,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,https://uremuseum.org/record/78.12.19,1,https://uremuseum.org/cgi-bin/uredb.cgi?field=Image,https://uremuseum.org/cgi-bin/uredb.cgi?rec=78.12.19,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,https://uremuseum.org/record/L.2011.1.51,1,https://uremuseum.org/cgi-bin/uredb.cgi?field=Image,https://uremuseum.org/cgi-bin/uredb.cgi?rec=L.2011.1.51,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,https://uremuseum.org/record/26.2.42,1,https://uremuseum.org/cgi-bin/uredb.cgi?field=Image,https://uremuseum.org/cgi-bin/uredb.cgi?rec=26.2.42,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,https://uremuseum.org/record/45.9.1,1,https://uremuseum.org/cgi-bin/uredb.cgi?field=Image,https://uremuseum.org/cgi-bin/uredb.cgi?rec=45.9.1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,https://uremuseum.org/record/39.9.7,1,https://uremuseum.org/cgi-bin/uredb.cgi?field=Image,https://uremuseum.org/cgi-bin/uredb.cgi?rec=39.9.7,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,https://uremuseum.org/record/26.2.48,1,https://uremuseum.org/cgi-bin/uredb.cgi?field=Image,https://uremuseum.org/cgi-bin/uredb.cgi?rec=26.2.48,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,https://uremuseum.org/record/REDMG:1947.13.1,1,https://uremuseum.org/cgi-bin/uredb.cgi?field=Image,https://uremuseum.org/cgi-bin/uredb.cgi?rec=REDMG:1947.13.1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,https://uremuseum.org/record/56.8.5,1,https://uremuseum.org/cgi-bin/uredb.cgi?field=Image,https://uremuseum.org/cgi-bin/uredb.cgi?rec=56.8.5,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,https://uremuseum.org/record/TEMP.2003.6.14,1,https://uremuseum.org/cgi-bin/uredb.cgi?field=Image,https://uremuseum.org/cgi-bin/uredb.cgi?rec=TEMP.2003.6.14,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,https://uremuseum.org/record/51.7.13,1,https://uremuseum.org/cgi-bin/uredb.cgi?field=Image,https://uremuseum.org/cgi-bin/uredb.cgi?rec=51.7.13,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,https://uremuseum.org/record/71.6.2,1,https://uremuseum.org/cgi-bin/uredb.cgi?field=Image,https://uremuseum.org/cgi-bin/uredb.cgi?rec=71.6.2,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,https://uremuseum.org/record/22.3.32,1,https://uremuseum.org/cgi-bin/uredb.cgi?field=Image,https://uremuseum.org/cgi-bin/uredb.cgi?rec=22.3.32,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,https://uremuseum.org/record/14.9.80,1,https://uremuseum.org/cgi-bin/uredb.cgi?field=Image,https://uremuseum.org/cgi-bin/uredb.cgi?rec=14.9.80,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,https://uremuseum.org/record/26.2.100,1,https://uremuseum.org/cgi-bin/uredb.cgi?field=Image,https://uremuseum.org/cgi-bin/uredb.cgi?rec=26.2.100,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,https://uremuseum.org/record/14.9.5,1,https://uremuseum.org/cgi-bin/uredb.cgi?field=Image,https://uremuseum.org/cgi-bin/uredb.cgi?rec=14.9.5,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,https://uremuseum.org/record/26.2.43,1,https://uremuseum.org/cgi-bin/uredb.cgi?field=Image,https://uremuseum.org/cgi-bin/uredb.cgi?rec=26.2.43,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,https://uremuseum.org/record/45.6.13,1,https://uremuseum.org/cgi-bin/uredb.cgi?field=Image,https://uremuseum.org/cgi-bin/uredb.cgi?rec=45.6.13,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,https://uremuseum.org/record/26.2.51,1,https://uremuseum.org/cgi-bin/uredb.cgi?field=Image,https://uremuseum.org/cgi-bin/uredb.cgi?rec=26.2.51,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,https://uremuseum.org/record/45.10.14.2,1,https://uremuseum.org/cgi-bin/uredb.cgi?field=Image,https://uremuseum.org/cgi-bin/uredb.cgi?rec=45.10.14.2,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,https://uremuseum.org/record/RM.87.35.2,1,https://uremuseum.org/cgi-bin/uredb.cgi?field=Image,https://uremuseum.org/cgi-bin/uredb.cgi?rec=RM.87.35.2,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,https://uremuseum.org/record/84.8.2,1,https://uremuseum.org/cgi-bin/uredb.cgi?field=Image,https://uremuseum.org/cgi-bin/uredb.cgi?rec=84.8.2,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,https://uremuseum.org/record/84.8.4,1,https://uremuseum.org/cgi-bin/uredb.cgi?field=Image,https://uremuseum.org/cgi-bin/uredb.cgi?rec=84.8.4,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,https://uremuseum.org/record/45.6.31,1,https://uremuseum.org/cgi-bin/uredb.cgi?field=Image,https://uremuseum.org/cgi-bin/uredb.cgi?rec=45.6.31,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,https://uremuseum.org/record/26.2.52,1,https://uremuseum.org/cgi-bin/uredb.cgi?field=Image,https://uremuseum.org/cgi-bin/uredb.cgi?rec=26.2.52,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,https://uremuseum.org/record/E.47.6.10,1,https://uremuseum.org/cgi-bin/uredb.cgi?field=Image,https://uremuseum.org/cgi-bin/uredb.cgi?rec=E.47.6.10,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,https://uremuseum.org/record/14.9.79,1,https://uremuseum.org/cgi-bin/uredb.cgi?field=Image,https://uremuseum.org/cgi-bin/uredb.cgi?rec=14.9.79,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,https://uremuseum.org/record/26.2.55,1,https://uremuseum.org/cgi-bin/uredb.cgi?field=Image,https://uremuseum.org/cgi-bin/uredb.cgi?rec=26.2.55,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,https://uremuseum.org/record/2009.10.1.8,1,https://uremuseum.org/cgi-bin/uredb.cgi?field=Image,https://uremuseum.org/cgi-bin/uredb.cgi?rec=2009.10.1.8,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,https://uremuseum.org/record/26.2.46,1,https://uremuseum.org/cgi-bin/uredb.cgi?field=Image,https://uremuseum.org/cgi-bin/uredb.cgi?rec=26.2.46,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,https://uremuseum.org/record/45.10.22,1,https://uremuseum.org/cgi-bin/uredb.cgi?field=Image,https://uremuseum.org/cgi-bin/uredb.cgi?rec=45.10.22,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,https://uremuseum.org/record/14.9.75,1,https://uremuseum.org/cgi-bin/uredb.cgi?field=Image,https://uremuseum.org/cgi-bin/uredb.cgi?rec=14.9.75,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,https://uremuseum.org/record/REDMG:1935.87.2,1,https://uremuseum.org/cgi-bin/uredb.cgi?field=Image,https://uremuseum.org/cgi-bin/uredb.cgi?rec=REDMG:1935.87.2,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,https://uremuseum.org/record/14.9.78,1,https://uremuseum.org/cgi-bin/uredb.cgi?field=Image,https://uremuseum.org/cgi-bin/uredb.cgi?rec=14.9.78,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,https://uremuseum.org/record/26.2.74-75,1,https://uremuseum.org/cgi-bin/uredb.cgi?field=Image,https://uremuseum.org/cgi-bin/uredb.cgi?rec=26.2.74-75,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,https://uremuseum.org/record/50.10.1,1,https://uremuseum.org/cgi-bin/uredb.cgi?field=Image,https://uremuseum.org/cgi-bin/uredb.cgi?rec=50.10.1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,https://uremuseum.org/record/45.10.14.1,1,https://uremuseum.org/cgi-bin/uredb.cgi?field=Image,https://uremuseum.org/cgi-bin/uredb.cgi?rec=45.10.14.1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,https://uremuseum.org/record/E.23.9,1,https://uremuseum.org/cgi-bin/uredb.cgi?field=Image,https://uremuseum.org/cgi-bin/uredb.cgi?rec=E.23.9,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,https://uremuseum.org/record/84.8.3,1,https://uremuseum.org/cgi-bin/uredb.cgi?field=Image,https://uremuseum.org/cgi-bin/uredb.cgi?rec=84.8.3,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,https://uremuseum.org/record/26.2.50,1,https://uremuseum.org/cgi-bin/uredb.cgi?field=Image,https://uremuseum.org/cgi-bin/uredb.cgi?rec=26.2.50,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,https://uremuseum.org/record/23.11.22,1,https://uremuseum.org/cgi-bin/uredb.cgi?field=Image,https://uremuseum.org/cgi-bin/uredb.cgi?rec=23.11.22,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,https://uremuseum.org/record/26.2.47,1,https://uremuseum.org/cgi-bin/uredb.cgi?field=Image,https://uremuseum.org/cgi-bin/uredb.cgi?rec=26.2.47,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,https://uremuseum.org/record/26.2.96,1,https://uremuseum.org/cgi-bin/uredb.cgi?field=Image,https://uremuseum.org/cgi-bin/uredb.cgi?rec=26.2.96,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,https://uremuseum.org/record/68.12.1,1,https://uremuseum.org/cgi-bin/uredb.cgi?field=Image,https://uremuseum.org/cgi-bin/uredb.cgi?rec=68.12.1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,https://uremuseum.org/record/39.9.2,1,https://uremuseum.org/cgi-bin/uredb.cgi?field=Image,https://uremuseum.org/cgi-bin/uredb.cgi?rec=39.9.2,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,https://uremuseum.org/record/23.11.13,1,https://uremuseum.org/cgi-bin/uredb.cgi?field=Image,https://uremuseum.org/cgi-bin/uredb.cgi?rec=23.11.13,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,https://uremuseum.org/record/39.8.3,1,https://uremuseum.org/cgi-bin/uredb.cgi?field=Image,https://uremuseum.org/cgi-bin/uredb.cgi?rec=39.8.3,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,https://uremuseum.org/record/22.3.40,1,https://uremuseum.org/cgi-bin/uredb.cgi?field=Image,https://uremuseum.org/cgi-bin/uredb.cgi?rec=22.3.40,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,https://uremuseum.org/record/2007.10.2.84,1,https://uremuseum.org/cgi-bin/uredb.cgi?field=Image,https://uremuseum.org/cgi-bin/uredb.cgi?rec=2007.10.2.84,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,https://uremuseum.org/record/14.9.123,1,https://uremuseum.org/cgi-bin/uredb.cgi?field=Image,https://uremuseum.org/cgi-bin/uredb.cgi?rec=14.9.123,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,https://uremuseum.org/record/2007.9.3.55,1,https://uremuseum.org/cgi-bin/uredb.cgi?field=Image,https://uremuseum.org/cgi-bin/uredb.cgi?rec=2007.9.3.55,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,https://uremuseum.org/record/22.3.29,1,https://uremuseum.org/cgi-bin/uredb.cgi?field=Image,https://uremuseum.org/cgi-bin/uredb.cgi?rec=22.3.29,,,,,,,,,,,,,,,,,,,,
